IST Date,SKU,From Store, To Store,IST Qty
24/06/2019,SKU_1262,STORE_09,STORE_15,2.0
24/06/2019,SKU_0022,STORE_09,STORE_15,3.0
24/06/2019,SKU_1262,STORE_09,STORE_15,4.0
24/06/2019,SKU_1262,STORE_09,STORE_15,4.0
24/06/2019,SKU_0016,STORE_08,STORE_06,1.0
24/06/2019,SKU_0046,STORE_08,STORE_06,4.0
24/06/2019,SKU_0045,STORE_08,STORE_04,1.0
24/06/2019,SKU_0045,STORE_08,STORE_04,1.0
24/06/2019,SKU_0052,STORE_01,STORE_06,3.0
24/06/2019,SKU_0045,STORE_01,STORE_06,2.0
24/06/2019,SKU_0052,STORE_01,STORE_06,6.0
24/06/2019,SKU_1237,STORE_13,STORE_15,1.0
24/06/2019,SKU_0028,STORE_13,STORE_15,4.0
24/06/2019,SKU_1237,STORE_13,STORE_15,2.0
24/06/2019,SKU_1237,STORE_13,STORE_15,2.0
24/06/2019,SKU_0004,STORE_02,STORE_08,2.0
24/06/2019,SKU_1237,STORE_02,STORE_08,3.0
24/06/2019,SKU_0051,STORE_15,STORE_14,4.0
24/06/2019,SKU_0880,STORE_15,STORE_14,1.0
24/06/2019,SKU_0032,STORE_15,STORE_14,2.0
24/06/2019,SKU_1237,STORE_07,STORE_15,6.0
24/06/2019,SKU_0495,STORE_01,STORE_17,1.0
24/06/2019,SKU_0004,STORE_02,STORE_08,4.0
24/06/2019,SKU_0619,STORE_01,STORE_16,1.0
24/06/2019,SKU_1237,STORE_01,STORE_15,1.0
24/06/2019,SKU_0032,STORE_11,STORE_14,4.0
24/06/2019,SKU_1249,STORE_11,STORE_14,1.0
24/06/2019,SKU_0032,STORE_04,STORE_14,8.0
24/06/2019,SKU_0032,STORE_02,STORE_14,4.0
24/06/2019,SKU_1262,STORE_11,STORE_15,7.0
24/06/2019,SKU_0035,STORE_04,STORE_17,1.0
24/06/2019,SKU_0206,STORE_06,STORE_09,1.0
24/06/2019,SKU_0028,STORE_06,STORE_09,4.0
24/06/2019,SKU_0032,STORE_07,STORE_14,6.0
24/06/2019,SKU_0020,STORE_04,STORE_14,1.0
24/06/2019,SKU_0020,STORE_12,STORE_14,2.0
24/06/2019,SKU_0034,STORE_12,STORE_14,3.0
24/06/2019,SKU_0051,STORE_15,STORE_14,2.0
24/06/2019,SKU_0021,STORE_11,STORE_14,2.0
24/06/2019,SKU_1237,STORE_05,STORE_15,6.0
24/06/2019,SKU_0032,STORE_12,STORE_14,6.0
24/06/2019,SKU_0035,STORE_04,STORE_17,1.0
24/06/2019,SKU_0206,STORE_06,STORE_09,2.0
24/06/2019,SKU_0020,STORE_11,STORE_14,2.0
24/06/2019,SKU_1262,STORE_12,STORE_15,6.0
24/06/2019,SKU_0033,STORE_12,STORE_17,1.0
24/06/2019,SKU_0353,STORE_06,STORE_15,1.0
24/06/2019,SKU_1261,STORE_12,STORE_06,1.0
24/06/2019,SKU_0089,STORE_05,STORE_15,4.0
24/06/2019,SKU_0376,STORE_05,STORE_16,1.0
24/06/2019,SKU_0046,STORE_05,STORE_17,1.0
24/06/2019,SKU_0141,STORE_05,STORE_06,1.0
24/06/2019,SKU_0140,STORE_05,STORE_08,1.0
24/06/2019,SKU_0460,STORE_06,STORE_11,1.0
24/06/2019,SKU_0279,STORE_06,STORE_01,1.0
24/06/2019,SKU_0088,STORE_05,STORE_15,1.0
24/06/2019,SKU_0430,STORE_06,STORE_12,1.0
24/06/2019,SKU_0020,STORE_17,STORE_14,4.0
24/06/2019,SKU_1216,STORE_17,STORE_14,1.0
24/06/2019,SKU_0283,STORE_06,STORE_01,1.0
24/06/2019,SKU_0374,STORE_06,STORE_09,1.0
24/06/2019,SKU_0035,STORE_14,STORE_17,3.0
24/06/2019,SKU_0027,STORE_14,STORE_17,2.0
24/06/2019,SKU_1069,STORE_14,STORE_05,1.0
24/06/2019,SKU_0404,STORE_14,STORE_06,1.0
24/06/2019,SKU_0026,STORE_17,STORE_14,1.0
24/06/2019,SKU_1041,STORE_14,STORE_10,1.0
24/06/2019,SKU_0033,STORE_14,STORE_17,1.0
24/06/2019,SKU_0035,STORE_10,STORE_17,3.0
24/06/2019,SKU_0041,STORE_10,STORE_17,2.0
24/06/2019,SKU_0021,STORE_17,STORE_14,1.0
24/06/2019,SKU_0045,STORE_16,STORE_04,3.0
24/06/2019,SKU_0046,STORE_16,STORE_04,2.0
24/06/2019,SKU_0020,STORE_16,STORE_14,3.0
24/06/2019,SKU_0381,STORE_10,STORE_16,1.0
24/06/2019,SKU_0244,STORE_16,STORE_05,1.0
24/06/2019,SKU_0276,STORE_03,STORE_15,2.0
24/06/2019,SKU_0046,STORE_03,STORE_15,3.0
24/06/2019,SKU_0319,STORE_10,STORE_08,1.0
