SKU Code,Store_Code,BSQ
SKU_0001,STORE_01,2
SKU_0001,STORE_02,2
SKU_0001,STORE_03,1
SKU_0001,STORE_04,1
SKU_0001,STORE_05,2
SKU_0001,STORE_06,2
SKU_0001,STORE_07,1
SKU_0001,STORE_08,2
SKU_0001,STORE_09,2
SKU_0001,STORE_10,1
SKU_0001,STORE_11,2
SKU_0001,STORE_12,2
SKU_0001,STORE_13,2
SKU_0001,STORE_14,1
SKU_0002,STORE_01,2
SKU_0002,STORE_02,2
SKU_0002,STORE_03,2
SKU_0002,STORE_04,2
SKU_0002,STORE_05,2
SKU_0002,STORE_06,2
SKU_0002,STORE_07,1
SKU_0002,STORE_08,1
SKU_0002,STORE_09,1
SKU_0002,STORE_10,2
SKU_0002,STORE_11,1
SKU_0002,STORE_12,2
SKU_0002,STORE_13,1
SKU_0002,STORE_14,1
SKU_0003,STORE_01,1
SKU_0003,STORE_02,1
SKU_0003,STORE_03,1
SKU_0003,STORE_04,1
SKU_0003,STORE_05,1
SKU_0003,STORE_06,1
SKU_0003,STORE_07,1
SKU_0003,STORE_08,2
SKU_0003,STORE_09,1
SKU_0003,STORE_10,2
SKU_0003,STORE_11,1
SKU_0003,STORE_12,2
SKU_0003,STORE_13,2
SKU_0003,STORE_14,2
SKU_0004,STORE_01,1
SKU_0004,STORE_02,2
SKU_0004,STORE_04,2
SKU_0004,STORE_05,1
SKU_0004,STORE_06,2
SKU_0004,STORE_07,2
SKU_0004,STORE_15,2
SKU_0004,STORE_08,2
SKU_0004,STORE_09,2
SKU_0004,STORE_16,1
SKU_0004,STORE_10,2
SKU_0004,STORE_11,1
SKU_0004,STORE_13,2
SKU_0004,STORE_14,1
SKU_0005,STORE_01,2
SKU_0005,STORE_02,2
SKU_0005,STORE_04,2
SKU_0005,STORE_05,1
SKU_0005,STORE_06,2
SKU_0005,STORE_07,2
SKU_0005,STORE_15,1
SKU_0005,STORE_08,2
SKU_0005,STORE_09,1
SKU_0005,STORE_16,2
