SKU Code,Store_Code,Projected_Probability
SKU_0001,STORE_01,0.148
SKU_0001,STORE_02,0.079
SKU_0001,STORE_03,0.107
SKU_0001,STORE_04,0.069
SKU_0001,STORE_05,0.14
SKU_0001,STORE_06,0.169
SKU_0001,STORE_07,0.077
SKU_0001,STORE_08,0.102
SKU_0001,STORE_09,0.171
SKU_0001,STORE_10,0.095
SKU_0001,STORE_11,0.114
SKU_0001,STORE_12,0.094
SKU_0001,STORE_13,0.123
SKU_0001,STORE_14,0.13
SKU_0002,STORE_01,0.137
SKU_0002,STORE_02,0.073
SKU_0002,STORE_03,0.099
SKU_0002,STORE_04,0.064
SKU_0002,STORE_05,0.115
SKU_0002,STORE_06,0.157
SKU_0002,STORE_07,0.071
SKU_0002,STORE_08,0.095
SKU_0002,STORE_09,0.187
SKU_0002,STORE_10,0.09
SKU_0002,STORE_11,0.094
SKU_0002,STORE_12,0.078
SKU_0002,STORE_13,0.101
SKU_0002,STORE_14,0.107
SKU_0003,STORE_01,0.066
SKU_0003,STORE_02,0.052
SKU_0003,STORE_03,0.048
SKU_0003,STORE_04,0.031
SKU_0003,STORE_05,0.058
SKU_0003,STORE_06,0.075
SKU_0003,STORE_07,0.034
SKU_0003,STORE_08,0.045
SKU_0003,STORE_09,0.111
SKU_0003,STORE_10,0.027
SKU_0003,STORE_11,0.047
SKU_0003,STORE_12,0.039
SKU_0003,STORE_13,0.051
SKU_0003,STORE_14,0.054
SKU_0004,STORE_01,0.181
SKU_0004,STORE_02,0.113
SKU_0004,STORE_04,0.094
SKU_0004,STORE_05,0.16
SKU_0004,STORE_06,0.197
SKU_0004,STORE_07,0.106
SKU_0004,STORE_15,0.164
SKU_0004,STORE_08,0.126
SKU_0004,STORE_09,0.209
SKU_0004,STORE_16,0.114
SKU_0004,STORE_10,0.128
SKU_0004,STORE_11,0.148
SKU_0004,STORE_13,0.161
SKU_0004,STORE_14,0.163
SKU_0005,STORE_01,0.168
SKU_0005,STORE_02,0.104
SKU_0005,STORE_04,0.087
SKU_0005,STORE_05,0.132
SKU_0005,STORE_06,0.183
SKU_0005,STORE_07,0.098
SKU_0005,STORE_15,0.152
SKU_0005,STORE_08,0.117
SKU_0005,STORE_09,0.228
SKU_0005,STORE_16,0.094
SKU_0005,STORE_10,0.122
SKU_0005,STORE_11,0.123
SKU_0005,STORE_13,0.133
SKU_0005,STORE_14,0.135
SKU_0006,STORE_01,0.081
SKU_0006,STORE_02,0.075
SKU_0006,STORE_04,0.042
SKU_0006,STORE_05,0.067
SKU_0006,STORE_06,0.088
SKU_0006,STORE_07,0.047
SKU_0006,STORE_15,0.073
SKU_0006,STORE_08,0.056
SKU_0006,STORE_09,0.136
SKU_0006,STORE_16,0.047
SKU_0006,STORE_10,0.036
SKU_0006,STORE_11,0.062
SKU_0006,STORE_13,0.067
SKU_0006,STORE_14,0.068
SKU_0007,STORE_01,0.244
SKU_0007,STORE_02,0.154
SKU_0007,STORE_03,0.185
SKU_0007,STORE_04,0.128
SKU_0007,STORE_05,0.21
SKU_0007,STORE_06,0.242
SKU_0007,STORE_07,0.181
SKU_0007,STORE_15,0.21
SKU_0007,STORE_08,0.172
SKU_0007,STORE_09,0.236
SKU_0007,STORE_16,0.163
SKU_0007,STORE_10,0.166
SKU_0007,STORE_11,0.182
SKU_0007,STORE_12,0.147
SKU_0007,STORE_13,0.214
SKU_0007,STORE_17,0.143
SKU_0007,STORE_14,0.201
SKU_0008,STORE_01,0.226
SKU_0008,STORE_02,0.142
SKU_0008,STORE_03,0.172
SKU_0008,STORE_04,0.119
SKU_0008,STORE_05,0.173
SKU_0008,STORE_06,0.224
SKU_0008,STORE_07,0.168
SKU_0008,STORE_15,0.195
SKU_0008,STORE_08,0.159
SKU_0008,STORE_09,0.257
SKU_0008,STORE_16,0.135
SKU_0008,STORE_10,0.157
SKU_0008,STORE_11,0.15
SKU_0008,STORE_12,0.121
SKU_0008,STORE_13,0.177
SKU_0008,STORE_17,0.132
SKU_0008,STORE_14,0.166
SKU_0009,STORE_01,0.109
SKU_0009,STORE_02,0.102
SKU_0009,STORE_03,0.083
SKU_0009,STORE_04,0.057
SKU_0009,STORE_05,0.087
SKU_0009,STORE_06,0.108
SKU_0009,STORE_07,0.081
SKU_0009,STORE_15,0.094
SKU_0009,STORE_08,0.077
SKU_0009,STORE_09,0.153
SKU_0009,STORE_16,0.068
SKU_0009,STORE_10,0.047
SKU_0009,STORE_11,0.075
SKU_0009,STORE_12,0.061
SKU_0009,STORE_13,0.089
SKU_0009,STORE_17,0.063
SKU_0009,STORE_14,0.083
SKU_0010,STORE_01,0.279
SKU_0010,STORE_02,0.156
SKU_0010,STORE_03,0.225
SKU_0010,STORE_04,0.15
SKU_0010,STORE_05,0.276
SKU_0010,STORE_06,0.281
SKU_0010,STORE_07,0.199
SKU_0010,STORE_15,0.269
SKU_0010,STORE_08,0.229
SKU_0010,STORE_16,0.195
SKU_0010,STORE_10,0.211
SKU_0010,STORE_11,0.204
SKU_0010,STORE_12,0.168
SKU_0010,STORE_13,0.211
SKU_0010,STORE_17,0.175
SKU_0010,STORE_14,0.229
SKU_0011,STORE_01,0.259
SKU_0011,STORE_02,0.143
SKU_0011,STORE_03,0.208
SKU_0011,STORE_04,0.139
SKU_0011,STORE_05,0.228
SKU_0011,STORE_06,0.26
SKU_0011,STORE_07,0.184
SKU_0011,STORE_15,0.25
SKU_0011,STORE_08,0.213
SKU_0011,STORE_16,0.161
SKU_0011,STORE_10,0.2
SKU_0011,STORE_11,0.168
SKU_0011,STORE_12,0.139
SKU_0011,STORE_13,0.174
SKU_0011,STORE_17,0.162
SKU_0011,STORE_14,0.189
SKU_0012,STORE_01,0.124
SKU_0012,STORE_02,0.103
SKU_0012,STORE_03,0.1
SKU_0012,STORE_04,0.067
SKU_0012,STORE_05,0.114
SKU_0012,STORE_06,0.125
SKU_0012,STORE_07,0.088
SKU_0012,STORE_15,0.12
SKU_0012,STORE_08,0.102
SKU_0012,STORE_16,0.081
SKU_0012,STORE_10,0.06
SKU_0012,STORE_11,0.085
SKU_0012,STORE_12,0.07
SKU_0012,STORE_13,0.087
SKU_0012,STORE_17,0.078
SKU_0012,STORE_14,0.095
SKU_0013,STORE_01,0.177
SKU_0013,STORE_02,0.112
SKU_0013,STORE_03,0.137
SKU_0013,STORE_04,0.115
SKU_0013,STORE_05,0.175
SKU_0013,STORE_06,0.25
SKU_0013,STORE_07,0.112
SKU_0013,STORE_15,0.19
SKU_0013,STORE_08,0.141
SKU_0013,STORE_09,0.279
SKU_0013,STORE_16,0.12
SKU_0013,STORE_10,0.141
SKU_0013,STORE_11,0.141
SKU_0013,STORE_12,0.09
SKU_0013,STORE_13,0.186
SKU_0013,STORE_14,0.16
SKU_0014,STORE_01,0.202
SKU_0014,STORE_02,0.128
SKU_0014,STORE_03,0.168
SKU_0014,STORE_04,0.141
SKU_0014,STORE_05,0.215
SKU_0014,STORE_06,0.209
SKU_0014,STORE_07,0.138
